timestamp,LQI,RSSI,SNR,GPS_latitude,GPS_longitude,GPS_accuracy
2023-04-07 13:35:26,1,-111,-19,40.116752,-88.232864,11
2023-04-07 13:35:17,1,-111,-19,40.116752,-88.232864,9
2023-04-07 13:35:06,2,-110,-18,40.116755,-88.232857,12
2023-04-07 13:34:57,1,-111,-18,40.116755,-88.232851,13
2023-04-07 13:34:46,2,-110,-18,40.116748,-88.232825,17
2023-04-07 13:34:37,2,-110,-18,40.116748,-88.232819,15
2023-04-07 13:34:26,2,-110,-18,40.116774,-88.232787,14
2023-04-07 13:34:17,2,-109,-17,40.116790,-88.232780,13
2023-04-07 13:34:06,1,-111,-19,40.116790,-88.232774,12
2023-04-07 13:33:57,2,-109,-17,40.116790,-88.232774,8
2023-04-07 13:33:46,2,-110,-18,40.116790,-88.232774,11
2023-04-07 13:33:33,2,-110,-18,40.116790,-88.232774,12
2023-04-07 13:33:21,2,-110,-18,40.116787,-88.232774,14
2023-04-07 13:33:13,2,-109,-17,40.116790,-88.232774,16
2023-04-07 13:33:02,2,-110,-19,40.116790,-88.232774,14
2023-04-07 13:32:53,2,-110,-18,40.116793,-88.232768,11
2023-04-07 13:32:42,2,-110,-18,40.116793,-88.232768,12
2023-04-07 13:32:33,2,-110,-19,40.116793,-88.232768,13
2023-04-07 13:32:22,1,-112,-19,40.116800,-88.232768,15
2023-04-07 13:32:13,1,-112,-19,40.116800,-88.232768,12
2023-04-07 13:32:02,1,-112,-19,40.116800,-88.232768,16
2023-04-07 13:31:53,2,-110,-18,40.116800,-88.232768,13
2023-04-07 13:31:42,2,-110,-18,40.116800,-88.232768,12
2023-04-07 13:31:27,2,-110,-19,40.116800,-88.232768,10
2023-04-07 13:31:18,2,-110,-19,40.116800,-88.232768,10
2023-04-07 13:30:56,2,-110,-19,40.116800,-88.232755,7
2023-04-07 13:30:46,2,-110,-19,40.116800,-88.232755,6
2023-04-07 13:30:37,2,-110,-19,40.116800,-88.232755,7
2023-04-07 13:30:18,2,-110,-19,40.116784,-88.232742,7
2023-04-07 13:30:07,2,-110,-19,40.116784,-88.232742,7
2023-04-07 13:29:58,2,-110,-19,40.116774,-88.232736,7
2023-04-07 13:29:47,2,-110,-19,40.116768,-88.232736,7
2023-04-07 13:29:38,2,-110,-19,40.116764,-88.232742,7
2023-04-07 13:29:27,2,-110,-19,40.116755,-88.232748,7
2023-04-07 13:29:18,2,-110,-19,40.116755,-88.232748,5
2023-04-07 13:28:56,2,-110,-19,40.116713,-88.232729,6
2023-04-07 13:28:37,2,-110,-19,40.116681,-88.232729,7
2023-04-07 13:28:16,2,-110,-19,40.116675,-88.232729,6
2023-04-07 13:28:07,2,-110,-19,40.116636,-88.232716,8
2023-04-07 13:27:57,2,-110,-19,40.116636,-88.232716,6
2023-04-07 13:27:46,2,-110,-19,40.116636,-88.232716,6
2023-04-07 13:27:37,2,-110,-19,40.116633,-88.232710,7
2023-04-07 13:27:27,2,-110,-19,40.116630,-88.232704,8
2023-04-07 13:27:16,2,-110,-19,40.116630,-88.232704,8
2023-04-07 13:27:07,2,-110,-19,40.116633,-88.232697,9
2023-04-07 13:26:57,1,-112,-20,40.116636,-88.232691,8
2023-04-07 13:26:46,1,-112,-20,40.116636,-88.232672,8
2023-04-07 13:26:37,2,-110,-18,40.116636,-88.232665,8
2023-04-07 13:26:27,1,-112,-20,40.116633,-88.232665,11
2023-04-07 13:25:59,1,-112,-20,40.116624,-88.232665,9
2023-04-07 13:25:48,1,-112,-20,40.116617,-88.232659,11
2023-04-07 13:25:36,1,-112,-20,40.116595,-88.232659,10
2023-04-07 13:25:26,1,-112,-20,40.116592,-88.232659,14
2023-04-07 13:25:17,1,-112,-20,40.116588,-88.232659,11
2023-04-07 13:24:58,1,-112,-20,40.116572,-88.232672,12
2023-04-07 13:24:47,1,-112,-20,40.116556,-88.232678,11
2023-04-07 13:24:36,2,-110,-18,40.116556,-88.232678,9
2023-04-07 13:24:27,4,-83,4,40.116534,-88.232672,11
2023-04-07 13:24:18,4,-83,4,40.116524,-88.232652,13
2023-04-07 13:24:07,4,-84,3,40.116524,-88.232620,15
2023-04-07 13:23:58,4,-84,3,40.116496,-88.232595,15
2023-04-07 13:23:48,4,-84,3,40.116486,-88.232588,15
2023-04-07 13:23:36,4,-84,2,40.116476,-88.232588,13
2023-04-07 13:23:27,4,-82,5,40.116486,-88.232582,12
2023-04-07 13:23:18,4,-84,3,40.116537,-88.232614,11
2023-04-07 13:23:07,4,-84,4,40.116572,-88.232640,8
2023-04-07 13:22:58,4,-85,3,40.116572,-88.232640,7
2023-04-07 13:22:48,4,-83,4,40.116585,-88.232652,12
2023-04-07 13:22:36,4,-84,3,40.116572,-88.232633,12
2023-04-07 13:22:26,4,-84,4,40.116636,-88.232640,11
2023-04-07 13:22:17,4,-83,5,40.116665,-88.232633,10
2023-04-07 13:22:07,4,-84,4,40.116812,-88.232710,12
2023-04-07 13:21:58,1,-112,-20,40.116854,-88.232736,11
2023-04-07 13:21:48,4,-84,4,40.116860,-88.232736,11
2023-04-07 13:21:36,4,-84,4,40.116860,-88.232736,10
2023-04-07 13:21:26,4,-83,4,40.116864,-88.232736,12
2023-04-07 13:21:07,4,-85,2,40.116889,-88.232736,10
2023-04-07 13:20:58,4,-85,2,40.116889,-88.232736,8
2023-04-07 13:20:47,4,-84,3,40.116889,-88.232736,8
2023-04-07 13:20:38,4,-82,3,40.116883,-88.232736,10
2023-04-07 13:20:28,4,-84,3,40.116864,-88.232704,12
2023-04-07 13:20:16,4,-77,7,40.116860,-88.232704,10
2023-04-07 13:20:06,4,-79,5,40.116864,-88.232704,11
2023-04-07 13:19:57,2,-104,-13,40.116864,-88.232704,10
2023-04-07 13:19:47,4,-77,6,40.116867,-88.232704,8
2023-04-07 13:19:38,4,-78,7,40.116867,-88.232697,9
